matchID,venue
ODI no. 2952,Adelaide
ODI no. 2908,Harare
ODI no. 2913,Vadodara
ODI no. 2914,Dhaka
ODI no. 2697,Port of Spain
ODI no. 2696,Lahore
ODI no. 2693,Dhaka
ODI no. 2690,Chittagong
ODI no. 2674,Wellington
ODI no. 2633,Lahore
ODI no. 2638,Nairobi
ODI no. 3817,Brisbane
ODI no. 3845,North Sound
ODI no. 3654,Birmingham
ODI no. 3673,Harare
ODI no. 3647,Dhaka
ODI no. 3438,Cape Town
ODI no. 3477,North Sound
ODI no. 3436,Kochi
ODI no. 3449,Auckland
ODI no. 3473,Fatullah
ODI no. 3469,Dhaka
ODI no. 3423,Dhaka
ODI no. 3389,Providence
ODI no. 3353,Bulawayo
ODI no. 3739,Providence
ODI no. 3740,Providence
ODI no. 3741,Providence
ODI no. 3309,Khulna
ODI no. 3305,Kandy
ODI no. 3333,Sydney
ODI no. 3343,Bloemfontein
ODI no. 3337,"St George's,"
ODI no. 3320,Kochi
ODI no. 3311,Dhaka
ODI no. 3149,Dhaka
ODI no. 3159,Port of Spain
ODI no. 3185,Dublin
ODI no. 2979,North Sound
ODI no. 2997,Edinburgh
ODI no. 3005,The Hague
ODI no. 3027,Belfast
ODI no. 3029,Glasgow
ODI no. 3680,Southampton
ODI no. 3679,Belfast
ODI no. 3664,Dambulla
ODI no. 3663,Dhaka
ODI no. 3861,Providence
ODI no. 3872,Leeds
ODI no. 3900,North Sound